Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,Unnamed: 28
Ronald Acuña Jr.,27.14,ve VE,R,R,"6' 0""",205,1997-12-18,6,159,159,159,157,0,0,0,0,0,0,0,0,157,157,2,0,0,8.2,"$17,000,000 ",All-Star
Ehire Adrianza,35.46,ve VE,B,R,"6' 1""",198,1989-08-21,11,5,2,5,3,0,0,0,0,0,3,0,0,0,0,0,3,0,-0.3,"$1,000,000 ",NAN
Ozzie Albies,28.08,cw CW,B,R,"5' 8""",165,1997-01-07,7,148,148,148,148,0,0,0,148,0,0,0,0,0,0,0,0,0,4.7,"$7,000,000 ",All-Star
Kolby Allard,27.49,us US,L,L,"6' 1""",195,1997-08-13,6,4,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,NAN,NAN
Nick Anderson,34.59,us US,R,R,"6' 4""",205,1990-07-05,4,35,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$875,000 ",NAN
Orlando Arcia,30.51,ve VE,R,R,"6' 0""",187,1994-08-04,8,139,136,139,139,0,0,0,0,0,139,0,0,0,0,0,2,0,1.6,"$2,300,000 ",All-Star
Jesse Chavez,41.46,us US,R,R,"6' 1""",180,1983-08-21,16,36,1,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,1.3,"$1,200,000 ",NAN
Yonny Chirinos,31.12,ve VE,R,R,"6' 2""",225,1993-12-26,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,NAN,NAN
Charlie Culberson,35.83,us US,R,R,"6' 1""",200,1989-04-10,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,NAN,NAN
Travis d'Arnaud,35.99,us US,R,R,"6' 2""",210,1989-02-10,11,74,65,74,63,0,63,0,0,0,0,0,0,0,0,8,6,1,0.2,"$8,000,000 ",NAN
Dylan Dodd,26.67,us US,L,L,"6' 2""",210,1998-06-06,1st,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,NAN,NAN
Bryce Elder,25.72,us US,R,R,"6' 2""",220,1999-05-19,2,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,2.9,NAN,All-Star
Max Fried,31.05,us US,L,L,"6' 4""",190,1994-01-18,7,14,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,2.6,"$13,500,000 ",NAN
Vaughn Grissom,24.09,us US,R,R,"6' 2""",210,2001-01-05,2,23,20,23,23,0,0,0,4,0,19,0,0,0,0,0,2,0,-0.7,NAN,NAN
Brad Hand,34.89,us US,L,L,"6' 3""",224,1990-03-20,13,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$1,500,000 ",NAN
Michael Harris II,23.92,us US,L,L,"6' 0""",195,2001-03-07,2,138,137,138,138,0,0,0,0,0,0,0,138,0,138,0,1,0,3.4,"$5,000,000 ",NAN
Taylor Hearn,30.44,us US,L,L,"6' 6""",230,1994-08-30,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,NAN,NAN
Ben Heller,33.51,us US,R,R,"6' 3""",210,1991-08-05,5,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0.1,NAN,NAN
Daysbel Hernández,28.39,cu CU,R,R,"5' 10""",220,1996-09-15,1st,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,NAN,NAN
Sam Hilliard,30.96,us US,L,L,"6' 4""",236,1994-02-21,5,40,19,40,31,0,0,0,0,0,0,7,23,2,31,2,5,9,0.2,"$750,000 ",NAN
Raisel Iglesias,35.09,cu CU,R,R,"6' 2""",190,1990-01-04,9,58,0,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,1.1,"$16,000,000 ",NAN
Joe Jiménez,30.06,pr PR,R,R,"6' 3""",277,1995-01-17,7,59,0,1,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0.9,"$2,765,000 ",NAN
Pierce Johnson,33.75,us US,R,R,"6' 2""",202,1991-05-10,6,24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0.7,NAN,NAN
Dylan Lee,30.52,us US,L,L,"6' 3""",214,1994-08-01,3,24,1,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"$730,000 ",NAN
Nicky Lopez,29.91,us US,L,R,"5' 11""",185,1995-03-13,5,26,19,25,25,2,0,2,14,2,6,0,0,0,0,0,0,2,0.8,NAN,NAN
Lucas Luetge,37.88,us US,L,L,"6' 4""",205,1987-03-24,7,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$1,550,000 ",NAN
Collin McHugh,37.64,us US,R,R,"6' 2""",191,1987-06-19,11,41,1,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$5,000,000 ",NAN
A.J. Minter,31.43,us US,L,L,"6' 0""",215,1993-09-02,7,70,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0.9,"$4,287,500 ",NAN
Charlie Morton,41.24,us US,R,R,"6' 5""",215,1983-11-12,16,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,3.2,"$20,000,000 ",NAN
Sean Murphy,30.34,us US,R,R,"6' 3""",228,1994-10-04,5,108,102,108,102,0,102,0,0,0,0,0,0,0,0,5,3,0,3.9,"$4,000,000 ",All-Star
Matt Olson,30.86,us US,L,R,"6' 5""",225,1994-03-29,8,162,162,162,162,0,0,162,0,0,0,0,0,0,0,0,0,0,7.4,"$21,000,000 ",All-Star
Marcell Ozuna,34.24,do DO,R,R,"6' 1""",225,1990-11-12,11,144,142,144,2,0,0,0,0,0,0,2,0,0,2,142,2,0,3.3,"$18,000,000 ",NAN
Kevin Pillar,36.09,us US,R,R,"6' 0""",210,1989-01-04,11,81,42,81,77,0,0,0,0,0,0,64,3,13,77,0,31,1,-0.1,"$3,000,000 ",NAN
Austin Riley,27.85,us US,R,R,"6' 3""",240,1997-04-02,5,159,159,159,159,0,0,0,0,159,0,0,0,0,0,0,0,0,5.9,"$15,000,000 ",All-Star
Dereck Rodríguez,32.67,us US,R,R,"6' 0""",208,1992-06-05,5,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,NAN,NAN
Eddie Rosario,33.36,pr PR,L,R,"6' 1""",180,1991-09-28,9,142,132,142,130,0,0,0,0,0,0,130,0,0,130,10,10,0,1.1,"$9,000,000 ",NAN
Braden Shewmake,27.22,us US,L,R,"6' 3""",200,1997-11-19,1st,2,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.1,NAN,NAN
Jared Shuster,26.51,us US,L,L,"6' 3""",220,1998-08-03,1st,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,NAN,NAN
AJ Smith-Shawver,22.21,us US,R,R,"6' 3""",205,2002-11-20,1st,6,5,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,NAN,NAN
Nick Solak,30.07,us US,R,R,"5' 10""",185,1995-01-11,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NAN,NAN,NAN
Michael Soroka,27.51,ca CA,R,R,"6' 5""",250,1997-08-04,4,7,6,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,"$2,800,000 ",NAN
Jackson Stephens,30.74,us US,R,R,"6' 2""",220,1994-05-11,4,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$740,000 ",NAN
Spencer Strider,26.28,us US,R,R,"6' 0""",195,1998-10-28,3,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,3.3,"$1,000,000 ",All-Star
Michael Tonkin,35.22,us US,R,R,"6' 7""",220,1989-11-19,6,45,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0.4,"$750,000 ",NAN
Chadwick Tromp,29.88,aw AW,R,R,"5' 8""",221,1995-03-21,4,6,5,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,-0.2,NAN,NAN
Darius Vines,26.77,us US,R,R,"6' 1""",190,1998-04-30,1st,5,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,NAN,NAN
Forrest Wall,29.22,us US,L,R,"6' 0""",195,1995-11-20,1st,15,2,15,9,0,0,0,0,0,0,6,2,1,9,3,2,7,0.3,NAN,NAN
Eli White,30.62,us US,R,R,"6' 2""",195,1994-06-26,4,6,5,6,5,0,0,0,0,0,0,0,5,0,5,0,1,0,0.0,NAN,NAN
Luke Williams,28.5,us US,R,R,"6' 1""",186,1996-08-09,3,7,1,7,4,0,0,1,0,2,0,1,0,0,1,1,2,3,-0.2,NAN,NAN
Allan Winans,29.49,us US,R,R,"6' 2""",165,1995-08-10,1st,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,NAN,NAN
Kyle Wright,29.35,us US,R,R,"6' 4""",215,1995-10-02,6,9,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,"$750,000 ",NAN
Kirby Yates,37.87,us US,L,R,"5' 10""",205,1987-03-25,9,61,0,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,1.1,"$6,000,000 ",NAN
Danny Young,30.7,us US,L,L,"6' 3""",200,1994-05-27,2,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,NAN,NAN
Yency Almonte,29.0,us US,R,R,"6' 5""",223,4-Jun-94,6,49,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,"$1,500,000 ",
Austin Barnes,33.0,us US,R,R,"5' 10""",187,28-Dec-89,9,59,52,59,54,0,53,0,1,0,0,0,0,0,0,1,6,0,-1.1,"$3,500,000 ",
Mookie Betts,30.0,us US,R,R,"5' 9""",180,7-Oct-92,10,152,151,152,152,0,0,0,70,0,16,0,0,107,107,0,1,0,8.3,"$25,416,667 ",All-Star
Phil Bickford,27.0,us US,R,R,"6' 4""",200,10-Jul-95,4,36,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$740,000 ",
Ryan Brasier,35.0,us US,R,R,"6' 0""",223,26-Aug-87,7,39,0,1,39,39,0,0,0,0,0,0,0,0,0,0,0,0,1.7,,
Justin Bruihl,26.0,us US,L,L,"6' 2""",215,26-Jun-97,3,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Michael Busch,25.0,us US,L,R,"6' 1""",210,9-Nov-97,1st,27,18,27,19,0,0,4,1,13,0,1,0,0,1,8,3,0,-0.5,,
Dylan Covey,31.0,us US,R,R,"6' 1""",215,14-Aug-91,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
Tyler Cyr,30.0,us US,R,R,"6' 1""",205,5-May-93,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Jonny DeLuca,24.0,us US,R,R,"6' 0""",200,10-Jul-98,1st,24,10,24,21,0,0,0,0,0,0,9,8,7,21,2,8,3,0.3,,
Caleb Ferguson,26.0,us US,R,L,"6' 3""",226,2-Jul-96,5,68,7,2,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$1,100,000 ",
Freddie Freeman,33.0,us US,L,R,"6' 5""",220,12-Sep-89,14,161,161,161,161,0,0,161,0,0,0,0,0,0,0,0,0,0,6.5,"$27,000,000 ",All-Star
Tony Gonsolin,29.0,us US,R,R,"6' 3""",205,14-May-94,5,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$3,250,000 ",
Victor González,27.0,mx MX,L,L,"6' 0""",180,16-Nov-95,3,34,1,2,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Brusdar Graterol,24.0,ve VE,R,R,"6' 1""",265,26-Aug-98,5,68,1,1,68,68,0,0,0,0,0,0,0,0,0,0,0,0,2.5,"$1,225,000 ",
Michael Grove,26.0,us US,R,R,"6' 3""",200,18-Dec-96,2,18,12,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,"$722,500 ",
Enrique Hernández,31.0,pr PR,R,R,"5' 11""",195,24-Aug-91,10,54,42,54,54,0,0,10,15,12,10,11,9,4,22,0,6,1,0.5,,
Yonny Hernández,25.0,ve VE,B,R,"5' 7""",140,4-May-98,3,14,4,14,11,1,0,0,8,3,0,0,0,0,0,0,5,0,-0.1,,
Jason Heyward,33.0,us US,L,L,"6' 5""",240,9-Aug-89,14,124,98,124,112,0,0,6,0,0,0,7,23,90,109,6,20,0,1.9,"$720,000 ",
Bryan Hudson,26.0,us US,L,L,"6' 8""",220,8-May-97,1st,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Daniel Hudson,36.0,us US,R,R,"6' 3""",215,9-Mar-87,14,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$6,500,000 ",
Kyle Hurt,25.0,us US,R,R,"6' 3""",240,30-May-98,1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Andre Jackson,27.0,us US,R,R,"6' 3""",210,1-May-96,3,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$722,500 ",
Joe Kelly,35.0,us US,R,R,"6' 1""",174,9-Jun-88,12,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$9,000,000 ",
Clayton Kershaw,35.0,us US,L,L,"6' 4""",225,19-Mar-88,16,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,3.8,"$20,000,000 ",All-Star
Adam Kolarek,34.0,us US,L,L,"6' 3""",215,14-Jan-89,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Lance Lynn,36.0,us US,B,R,"6' 5""",280,12-May-87,12,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$18,500,000 ",
Jake Marisnick,32.0,us US,R,R,"6' 4""",220,30-Mar-91,11,4,0,4,4,0,0,0,0,0,0,0,4,0,4,0,3,0,0.0,,
J.D. Martinez,35.0,us US,R,R,"6' 3""",230,21-Aug-87,13,113,111,113,3,0,0,0,0,0,0,3,0,0,3,110,2,0,1.9,"$10,000,000 ",All-Star
Dustin May,25.0,us US,R,R,"6' 6""",180,6-Sep-97,5,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1.5,"$1,675,000 ",
Bobby Miller,24.0,us US,L,R,"6' 5""",220,5-Apr-99,1st,22,22,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,2.1,,
Shelby Miller,32.0,us US,R,R,"6' 3""",225,10-Oct-90,11,36,1,1,36,36,0,0,0,0,0,0,0,0,0,0,0,0,1.5,"$1,500,000 ",
Tyson Miller,27.0,us US,R,R,"6' 5""",220,29-Jul-95,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
Max Muncy,32.0,us US,L,R,"6' 0""",215,25-Aug-90,8,135,131,135,124,0,0,0,0,124,0,0,0,0,0,10,4,0,2.6,"$13,500,000 ",
James Outman,26.0,us US,L,R,"6' 2""",215,14-May-97,2,151,137,151,145,0,0,0,0,0,0,17,135,6,145,3,8,0,3.3,"$722,500 ",
Ryan Pepiot,25.0,us US,R,R,"6' 3""",215,21-Aug-97,2,8,3,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1.3,,
David Peralta,35.0,ve VE,L,L,"6' 1""",210,14-Aug-87,10,133,104,133,123,0,0,0,0,0,0,118,0,12,123,6,24,0,0.6,"$6,500,000 ",
Evan Phillips,28.0,us US,R,R,"6' 2""",215,11-Sep-94,6,62,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,1.6,"$1,300,000 ",
Jake Reed,30.0,us US,R,R,"6' 2""",197,29-Sep-92,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Nick Robertson,24.0,us US,R,R,"6' 6""",235,16-Jul-98,1st,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Miguel Rojas,34.0,ve VE,R,R,"6' 0""",188,24-Feb-89,10,125,109,124,123,3,0,0,1,1,121,0,0,0,0,2,12,1,1.2,"$4,250,000 ",
Amed Rosario,27.0,do DO,R,R,"6' 2""",190,20-Nov-95,7,48,28,48,42,0,0,0,36,0,16,0,0,0,0,6,11,5,0.7,,
Tayler Scott,31.0,za ZA,R,R,"6' 3""",185,1-Jun-92,3,6,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Emmet Sheehan,23.0,us US,R,R,"6' 5""",220,15-Nov-99,1st,13,11,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Will Smith,28.0,us US,R,R,"5' 10""",195,28-Mar-95,5,126,120,126,111,0,111,0,0,0,0,0,0,0,0,14,4,0,4.1,"$5,250,000 ",All-Star
Gavin Stone,24.0,us US,R,R,"6' 1""",175,15-Oct-98,1st,8,4,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-1.1,,
Wander Suero,31.0,do DO,R,R,"6' 4""",216,15-Sep-91,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Noah Syndergaard,30.0,us US,L,R,"6' 6""",242,29-Aug-92,8,12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,"$13,000,000 ",
Chris Taylor,32.0,us US,R,R,"6' 1""",196,29-Aug-90,10,117,82,117,109,0,0,0,3,28,31,57,5,0,60,7,23,3,1.4,"$15,000,000 ",
Trayce Thompson,32.0,us US,R,R,"6' 2""",225,15-Mar-91,7,36,19,36,30,0,0,0,0,0,0,13,15,6,30,2,13,1,-0.3,"$1,450,000 ",
Julio Urías,26.0,mx MX,L,L,"6' 0""",225,12-Aug-96,8,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$14,250,000 ",
Miguel Vargas,23.0,cu CU,R,R,"6' 2""",205,17-Nov-99,2,81,70,81,79,0,0,5,78,0,0,0,0,0,0,2,10,0,-0.1,"$722,500 ",
Gus Varland,26.0,us US,L,R,"6' 1""",213,6-Nov-96,1st,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Alex Vesia,27.0,us US,L,L,"6' 1""",209,11-Apr-96,4,56,1,2,56,56,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$750,000 ",
Luke Williams,26.0,us US,R,R,"6' 1""",186,9-Aug-96,3,4,3,4,4,1,0,0,0,0,4,0,0,0,0,0,1,0,-0.1,,
Kolten Wong,32.0,us US,L,R,"5' 7""",185,10-Oct-90,11,20,4,20,11,0,0,0,11,0,0,0,0,0,0,4,12,1,0.4,,
Austin Wynns,32.0,us US,R,R,"6' 0""",190,10-Dec-90,5,5,4,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0.1,,
